ID,Disease Name,Symptoms,causes,brief_info
1,Acne,"Comedones, Papules, Pustules, Nodules, Cysts, Scarring","Cosmetics/topical steroid use, Age of onset around puberty, Recent drug intake, Contact with cutting oils/halogens","Acne can present with various lesions on the face and/or trunk, early treatment is important to minimize scarring."
2,Rosacea,"Facial redness, Swollen red bumps, Eye problems, Enlarged nose","Triggers like sun exposure, Spicy foods, Alcohol, Stress, Hot weather","Rosacea causes redness and visible blood vessels in the face, may also lead to eye problems and thickening of the skin."
3,Alopecia,"Hair loss, Bald patches, Thinning hair","Genetics, Hormonal changes, Medical conditions, Medications, Stress","Alopecia results in hair loss, which can occur in patches or overall thinning, with various underlying causes."
4,Bacterial skin infections,"Redness, Swelling, Pain, Warmth, Pus-filled lesions","Bacteria entering the skin through cuts, scrapes, or other breaks in the skin","Bacterial skin infections are caused by bacteria entering the skin, leading to symptoms like redness, swelling, and pus-filled lesions."
5,Cutaneous adverse drug reactions,"Rash, Itching, Hives, Swelling, Blisters","Reaction to medications, Allergic response to drugs","Cutaneous adverse drug reactions are skin reactions caused by medications, leading to symptoms like rash, itching, and hives."
6,Dermatophytosis,"Red, itchy, scaly patches, Blisters, Peeling skin","Fungal infection of the skin, Direct contact with an infected person or animal","Dermatophytosis is a fungal skin infection that results in red, itchy patches with peeling skin, commonly transmitted through direct contact."
7,Eczema/Dermatitis,"Dry, red, itchy skin, Inflammation, Rash, Blisters, Crusting","Genetics, Allergens, Irritants, Immune system dysfunction","Eczema/Dermatitis causes inflamed, itchy skin with various symptoms like rash and blisters, often triggered by genetics, allergens, or irritants."
8,Immunobullous dermatoses,"Fluid-filled blisters, Erosions, Crusting, Itching, Pain","Autoimmune response, Genetic predisposition, Triggers like drugs or infections","Immunobullous dermatoses lead to blistering of the skin due to autoimmune reactions, with symptoms like fluid-filled blisters and erosions."
9,Psoriasis,"Red, scaly patches, Silvery scales, Itching, Burning, Swollen joints","Immune system dysfunction, Genetics, Triggers like stress or infections","Psoriasis causes red, scaly patches on the skin with silvery scales, often accompanied by itching and swollen joints, linked to immune system issues."
10,Rationale use of Topical Steroids,Depends on the condition being treated and the specific steroid used,Prescribed for various skin conditions to reduce inflammation and symptoms,"Topical steroids are used to treat skin conditions by reducing inflammation, with specific usage based on the condition and steroid type."
11,Scabies,"Intense itching, Rash, Small red bumps, Scales","Infestation by the human itch mite, Close contact with an infected person","Scabies is caused by a mite infestation, leading to intense itching and a rash with small red bumps and scales, commonly spread through close contact."
12,Urticaria,"Raised, itchy welts, Swelling, Redness, Burning, Stinging","Allergies, Infections, Stress, Medications, Food","Urticaria presents as raised, itchy welts on the skin due to various triggers like allergies, infections, stress, or medications."
13,Varicella and Herpes,"Blisters, Itching, Fatigue, Fever, Headache","Varicella-zoster virus (chickenpox), Herpes simplex virus","Varicella (chickenpox) and Herpes infections lead to symptoms like blisters, itching, fatigue, and fever, caused by specific viruses."
14,Vitiligo,"Loss of skin color, Patchy depigmentation, Premature whitening of hair","Autoimmune response, Genetic factors, Triggers like stress or sun exposure","Vitiligo causes loss of skin color in patches, often accompanied by premature whitening of hair, linked to autoimmune factors and genetic predisposition."
16,Neonatal Hypoglycemia,"Refer with history of delayed cry at birth, abnormal value follow appropriate STW for Neonatal Triage, check vitals and blood glucose",Moderate or severe hypoxic-ischemic encephalopathy,"STW prepared by national experts of India for various healthcare levels, based on expert opinions and scientific evidence"
17,Neonatal Jaundice,"Jaundice, transitional stools, minor birth trauma, minor malformations, breastfeeding difficulty, regurgitation","Weight < 1800g or > 3.8kg, respiratory distress, severe jaundice, severe pallor, bleeding, major malformation, abdominal distension, irritable/restless, refusal to feed, hypothermia","Guidelines for Paediatric emergency triage, assessment, and treatment by WHO"
18,Neonatal Seizures,"Maintain TABC, check blood glucose, administer dextrose IV, calcium gluconate IV, phenobarbitone IV",Not controlled seizures,STW on neonatal seizures
21,Neonatal Triage,"Temperature, heart rate, respiratory rate, oxygen saturation, capillary refill time, blood glucose",Moderate or severe hypoxic-ischemic encephalopathy,"STW prepared by national experts of India for various healthcare levels, based on expert opinions and scientific evidence"
22,Post Asphyxial Management of Neonates,"Lethargy/coma or irritability, absent spontaneous movements",Not specified in the document,Not specified in the document
30,Supracondylar fracture of Humerus in Children,"Cover skin defects with warm saline gauze, maintain hydration, consult surgeon",Not specified in the document,Not specified in the document
32,Constipation,"Decreased frequency of bowel motions, Passage of hard or large stools, Painful bowel motions with difficulty in pushing out","Various factors including diet, dehydration, lack of physical activity, certain medications",Constipation is characterized by infrequent bowel movements and difficulty passing stools. It can be caused by multiple factors and is common in all age groups.
33,Empyema,"Chest pain, Shortness of breath, Cough, Fever, Sweating, Rapid heartbeat","Usually results from a complication of pneumonia, Lung infections, Trauma to the chest","Empyema is a condition where pus collects in the pleural space, often as a complication of pneumonia. It can lead to respiratory distress and requires medical intervention."
34,Hernia in children/ Congenital Hernia,"Visible bulge in the abdomen or groin, Pain or discomfort, Swelling or lump","Weakness in the abdominal wall, Increased pressure in the abdomen, Congenital condition","Hernia in children, also known as congenital hernia, is a condition where an organ or tissue bulges through a weak spot in the abdominal wall. It is common in infants and young children."
35,Undescended Testes,"Absence of one or both testes in the scrotum, Empty scrotum, Smaller than normal scrotum",Incomplete descent of the testes during fetal development,"Undescended testes, or cryptorchidism, is a condition where one or both testes fail to move into the scrotum before birth. It requires evaluation and treatment to prevent complications."
36,Infertility,"Difficulty conceiving after a year of regular, unprotected intercourse","Various factors including hormonal imbalances, reproductive system issues, age, lifestyle factors",Infertility is the inability to conceive after a year of trying. It can be caused by multiple factors affecting either partner and may require medical intervention for evaluation and treatment.
37,Female Infertility,"Difficulty conceiving after a year of regular, unprotected intercourse, Irregular menstrual cycles, Hormonal imbalances","Issues with ovulation, Fallopian tube blockages, Uterine problems, Age-related factors",Female infertility refers to the inability to conceive after a year of trying for women. It can be due to various factors affecting the reproductive system and may require medical assistance for diagnosis and treatment.
38,Haemolytic Anaemia,"Fatigue, Weakness, Pale or yellowish skin, Shortness of breath, Dizziness, Rapid heart rate","Destruction of red blood cells at an abnormally high rate, Inherited conditions, Autoimmune disorders, Infections","Haemolytic anemia is a condition where red blood cells are destroyed faster than they can be produced, leading to symptoms like fatigue and shortness of breath. It can be caused by various factors and requires medical management."
39,Epidermolysis bullosa,"Blistering of the skin in response to minor injury or friction, Fragile skin, Thickened skin on palms and soles",Genetic mutations affecting proteins that help anchor layers of skin together,Epidermolysis bullosa is a group of genetic conditions that cause fragile skin prone to blistering. It is caused by mutations affecting proteins that maintain skin integrity and requires specialized care.
40,Congenital syphilis,"Rash, Fever, Swollen liver and spleen, Jaundice, Anemia, Bone deformities, Meningitis",Transmission of syphilis from an infected mother to her baby during pregnancy,Congenital syphilis occurs when a baby is born with syphilis due to transmission from an infected mother. It can lead to serious health issues and requires prompt diagnosis and treatment.
